00001|Londrina|13/07/2025|20/07/2025|1734.50
00002|Sorocaba|16/07/2025|23/07/2025|2297.00
00003|Campinas|19/07/2025|26/07/2025|2035.50
00004|Sao Paulo|22/07/2025|29/07/2025|2747.50
00005|Rio de Janeiro|25/07/2025|01/08/2025|2889.50
00006|Belo Horizonte|28/07/2025|04/08/2025|2784.00
00007|Salvador|31/07/2025|07/08/2025|2296.00
00008|Fortaleza|03/08/2025|10/08/2025|2047.50
00009|Manaus|06/08/2025|13/08/2025|2315.50
00010|Curitiba|09/08/2025|16/08/2025|2774.00
00011|Florianopolis|12/08/2025|19/08/2025|2271.50
00012|Goiania|15/08/2025|22/08/2025|2354.50
00013|Vitoria|18/08/2025|25/08/2025|1791.50
00014|Campo Grande|21/08/2025|28/08/2025|1735.00
00015|Joao Pessoa|24/08/2025|31/08/2025|2334.00
00016|Aracaju|27/08/2025|03/09/2025|2275.00
00017|Maceio|30/08/2025|06/09/2025|2863.50
00018|Teresina|02/09/2025|09/09/2025|2729.50
00019|Natal|05/09/2025|12/09/2025|1864.00
00020|Palmas|08/09/2025|15/09/2025|2502.00
00021|Uberlandia|11/09/2025|18/09/2025|1718.50
00022|Ribeirao Preto|14/09/2025|21/09/2025|1516.50
00023|Santos|17/09/2025|24/09/2025|2083.00
00024|Maringa|20/09/2025|27/09/2025|1661.50
00025|Joinville|23/09/2025|30/09/2025|2663.00
00026|Blumenau|26/09/2025|03/10/2025|2782.00
00027|Anapolis|29/09/2025|06/10/2025|2222.00
00028|Caruaru|02/10/2025|09/10/2025|1563.50
00029|Petrolina|05/10/2025|12/10/2025|2585.50
00030|Juazeiro do Norte|08/10/2025|15/10/2025|1739.00
00031|Cuiaba|11/10/2025|18/10/2025|2466.00
00032|Porto Velho|14/10/2025|21/10/2025|2854.00
00033|Macapa|17/10/2025|24/10/2025|1861.50
00034|Boa Vista|20/10/2025|27/10/2025|2765.50
00035|Sao Luis|23/10/2025|30/10/2025|1870.50
00036|Belem|26/10/2025|02/11/2025|2312.50
00037|Aparecida de Goiania|29/10/2025|05/11/2025|2306.00
00038|Feira de Santana|01/11/2025|08/11/2025|2894.00
00039|Serra|04/11/2025|11/11/2025|1560.00
00040|Caxias do Sul|07/11/2025|14/11/2025|2567.50
00041|Jundiai|10/11/2025|17/11/2025|2105.50
00042|Niteroi|13/11/2025|20/11/2025|1667.00
00043|Sao Jose dos Campos|16/11/2025|23/11/2025|1900.00
00044|Campina Grande|19/11/2025|26/11/2025|1911.00
00045|Mossoro|22/11/2025|29/11/2025|2641.50
00046|Vitoria da Conquista|25/11/2025|02/12/2025|1940.50
00047|Pelotas|28/11/2025|05/12/2025|1763.50
00048|Lajeado|01/12/2025|08/12/2025|3000.00
00049|Gravatai|04/12/2025|11/12/2025|2379.00
00050|Sao Leopoldo|07/12/2025|14/12/2025|2390.50
00051|Novo Hamburgo|10/12/2025|17/12/2025|1603.50
00052|Franca|13/12/2025|20/12/2025|2766.00
00053|Bauru|16/12/2025|23/12/2025|1632.50
00054|Piracicaba|19/12/2025|26/12/2025|2758.50
00055|Taubate|22/12/2025|29/12/2025|2405.00
00056|Barueri|25/12/2025|01/01/2026|2961.50
00057|Osasco|28/12/2025|04/01/2026|2509.50
00058|Santo Andre|31/12/2025|07/01/2026|1865.50
00059|Sao Bernardo do Campo|03/01/2026|10/01/2026|2538.50
00060|Sao Caetano do Sul|06/01/2026|13/01/2026|2948.50
00061|Diadema|09/01/2026|16/01/2026|2204.50
00062|Mogi das Cruzes|12/01/2026|19/01/2026|1672.00
00063|Suzano|15/01/2026|22/01/2026|2144.50
00064|Itu|18/01/2026|25/01/2026|1750.50
00065|Indaiatuba|21/01/2026|28/01/2026|1976.50
00066|Jacarei|24/01/2026|31/01/2026|1756.50
00067|Ponta Grossa|27/01/2026|03/02/2026|2562.00
00068|Foz do Iguacu|30/01/2026|06/02/2026|2246.50
00069|Lages|02/02/2026|09/02/2026|2874.00
00070|Chapeco|05/02/2026|12/02/2026|2759.50
00071|Rio Branco|08/02/2026|15/02/2026|1520.50
00072|Parauapebas|11/02/2026|18/02/2026|2963.50
00073|Maraba|14/02/2026|21/02/2026|2757.00
00074|Itabuna|17/02/2026|24/02/2026|1504.00
00075|Ilheus|20/02/2026|27/02/2026|2337.50
00076|Teixeira de Freitas|23/02/2026|02/03/2026|1573.00
00077|Jequie|26/02/2026|05/03/2026|1601.50
00078|Barreiras|01/03/2026|08/03/2026|1795.50
00079|Paulo Afonso|04/03/2026|11/03/2026|2367.00
00080|Araguaina|07/03/2026|14/03/2026|2086.50
00081|Gurupi|10/03/2026|17/03/2026|2787.00
00082|Crato|13/03/2026|20/03/2026|2574.50
00083|Sobral|16/03/2026|23/03/2026|2647.50
00084|Maracanau|19/03/2026|26/03/2026|2236.50
00085|Caucaia|22/03/2026|29/03/2026|2983.50
00086|Itapipoca|25/03/2026|01/04/2026|1860.00
00087|Quixada|28/03/2026|04/04/2026|1798.00
00088|Quixeramobim|31/03/2026|07/04/2026|1736.50
00089|Linhares|03/0
